Country Name	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Ethiopia	-5.407367787	2.409825419	-2.88644769	-2.109360635	2.825419085	6.254255777	9.672721087	183.6670775	223.6138414	172.83222	114.9429304	177.4857831	155.1711435	160.3969127	197.1893843	160.3016327	180.8397022	160.4230581	170.4769893	171.5744743	173.4684821	175.3203116
European Union	-1.707624171	-5.144260164	-7.303471491	-7.472647764	-6.476848228	-4.932819781	-6.567496265	-8.951871397	-11.07990516	-10.0421266	-9.704645041	-10.30528734	-8.23861671	-8.320910859	-8.937514357	-8.894501974	-9.819533721	-11.22638527	-16.40648954	-14.85079764	-16.94344883	-17.40170619
Fragile and conflict affected situations	-13.22733335	22.92360201	-10.09675533	-6.88756227	-1.394361627	-15.28945595	-13.15199584	4.140307634	-6.703356259	-8.214304889	-16.81295416	-12.11635549	-9.182941168	-8.2049853	-6.358851842	-2.345313231	11.45570258	-3.375282284	-9.062100882	-3.661781587	3.44673679	3.48729475
Finland	-0.115052888	-4.915918048	-2.753344423	6.887737595	2.476734576	11.11744647	8.653256047	3.147249894	1.239181827	-0.579156977	6.264250127	11.11346948	25.75335686	17.22729933	0.8533227	16.67382007	13.48310954	3.745179604	-0.742736562	11.66894335	0.753839881	-8.579336138
Fiji	-6.702711982	-14.07304537	-9.813085757	-10.51121989	-6.297845199	-4.550401552	-4.794657895	-0.264150156	-10.22241824	-32.38402676	-29.60692265	-22.40858293	-17.05453661	-22.25913243	-21.16030523	-16.44121634	-9.926248188	-8.798359613	0.309599415	-7.082528477	-4.964733282	-3.035459305
France	4.739024263	1.681838393	-2.450200229	-2.982714811	-2.104281549	3.216923297	1.899403208	4.176469403	1.625020047	0.944124387	1.896399666	0.57056634	1.788743339	1.075125556	0.440762787	-1.320371058	-2.47674575	-1.849917182	-4.896380783	-4.065772151	-9.379845994	-10.01264095
Faroe Islands																						
"Micronesia, Fed. Sts."	1.847903073	3.759685252	5.636895463	6.267675913	21.39167023	21.94706368																
Gabon	-6.487216524	14.82182711	-3.938033515	-0.086189645	7.76671478	10.52765263	5.706423568	210.5846438	191.1164577	168.1720569	12.01076007	3.088387354	19.97195605	23.30142284	15.5500835	13.76074248	6.546321876	403.4627713	16.68818703	177.3800374	179.5891523	181.5918167
United Kingdom	0.693877136	-2.087455831	-5.618410316	-6.248548156	-6.292506025	-4.230511946	-7.855799714	-9.273342563	-12.49822749	-13.29656986	-12.11512872	-14.88230668	-13.67020544	-14.70922864	-15.19935866	-15.29930768	-16.83281482	-18.24742493	-24.74168902	-21.57078336	-26.91334242	-24.63375595
Georgia	-17.78639726	-28.55261082	-39.78311728	-56.84792787	-64.37451425	-66.16632923	-68.40196255	-70.57877724	-71.26584098	-69.76942301	-74.39041186	-45.97814214	-74.74281848	-73.39529724	-70.72214977	-69.02131585	-66.28782394	-67.86513074	-65.33251007	-65.70271955	-61.62853744	-61.72809374
Ghana	-15.74068549	-2.881113653	-6.307833515	-5.089792494	3.441993444	3.745869452	6.46478842	342.3458561	220.4764561	265.1388247	253.9045494	214.8462334	266.2592739	140.9930771	283.6496709	252.7467998	263.8977643	320.6482379	255.6893098	260.8428175	263.1940946	265.4252047
